Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-5756,Abri GONNET,WW1,45.206054,6.858736,JN35KE
FBOTA,227,B/F-5757,Abri GONNET,WW1,45.206054,6.858736,JN35KE
FBOTA,227,B/F-5758,CASSE BLANCHE,WW1,45.204458,6.856813,JN35KE
FBOTA,227,B/F-5759,CASSE BLANCHE,WW1,45.204458,6.856813,JN35KE
FBOTA,227,B/F-5760,SAINT ANTOINE 1,WW1,45.204047,6.682643,JN35IE
FBOTA,227,B/F-5761,SAINT ANTOINE 1,WW1,45.204047,6.682643,JN35IE
FBOTA,227,B/F-5762,SAPEY,WW1,45.203865,6.650248,JN35HE
FBOTA,227,B/F-5763,SAPEY,WW1,45.203865,6.650248,JN35HE
FBOTA,227,B/F-5764,ANNEXE de SAINT ANTOINE,WW1,45.20192,6.682919,JN35IE
FBOTA,227,B/F-5765,ANNEXE de SAINT ANTOINE,WW1,45.20192,6.682919,JN35IE
FBOTA,227,B/F-5766,REPLATON Redoute,WW1,45.199921,6.660769,JN35HE
FBOTA,227,B/F-5767,REPLATON Redoute,WW1,45.199921,6.660769,JN35HE
FBOTA,227,B/F-5768,SAINT ANTOINE 2,WW1,45.199753,6.676239,JN35IE
FBOTA,227,B/F-5769,SAINT ANTOINE 2,WW1,45.199753,6.676239,JN35IE
FBOTA,227,B/F-5770,SAINT ANTOINE 3,WW1,45.199657,6.676041,JN35IE
FBOTA,227,B/F-5771,SAINT ANTOINE 3,WW1,45.199657,6.676041,JN35IE
FBOTA,227,B/F-5772,SAINT ANTOINE,WW1,45.199443,6.679745,JN35IE
FBOTA,227,B/F-5773,SAINT ANTOINE,WW1,45.199443,6.679745,JN35IE
FBOTA,227,B/F-5774,SAINT ANTOINE,WW1,45.198683,6.679571,JN35IE
FBOTA,227,B/F-5775,SAINT ANTOINE,WW1,45.198683,6.679571,JN35IE
FBOTA,227,B/F-5776,COL des TROIS CROIX Supérieur 2,WW1,45.196078,6.443208,JN35FE
FBOTA,227,B/F-5777,COL des TROIS CROIX Supérieur 2,WW1,45.196078,6.443208,JN35FE
FBOTA,227,B/F-5778,RIEUX ROUX 2 - TUNNEL FERROVIAIRE,WW1,45.195644,6.669756,JN35IE
FBOTA,227,B/F-5779,RIEUX ROUX 2 - TUNNEL FERROVIAIRE,WW1,45.195644,6.669756,JN35IE
FBOTA,227,B/F-5780,COL des TROIS CROIX Supérieur 3,WW1,45.195383,6.444406,JN35FE
FBOTA,227,B/F-5781,COL des TROIS CROIX Supérieur 3,WW1,45.195383,6.444406,JN35FE
FBOTA,227,B/F-5782,COL des TROIS CROIX Supérieur,WW1,45.195317,6.444105,JN35FE
FBOTA,227,B/F-5783,COL des TROIS CROIX Supérieur,WW1,45.195317,6.444105,JN35FE
FBOTA,227,B/F-5784,TROIS CROIX Inférieur,WW1,45.194968,6.441782,JN35FE
FBOTA,227,B/F-5785,PLAN a MARIN Est,WW1,45.184701,6.689184,JN35IE
FBOTA,227,B/F-5786,PLAN a MARIN Est,WW1,45.184701,6.689184,JN35IE
FBOTA,227,B/F-5787,PLAN à MARIN,WW1,45.184327,6.689145,JN35IE
FBOTA,227,B/F-5788,PLAN à MARIN,WW1,45.184327,6.689145,JN35IE
FBOTA,227,B/F-5789,LAVOIR 3,WW1,45.151726,6.638995,JN35HD
FBOTA,227,B/F-5790,LAVOIR 3,WW1,45.151726,6.638995,JN35HD
FBOTA,227,B/F-5791,LAVOIR,WW1,45.151617,6.632374,JN35HD
FBOTA,227,B/F-5792,LAVOIR,WW1,45.151617,6.632374,JN35HD
FBOTA,227,B/F-5793,LAVOIR 1,WW1,45.150869,6.637322,JN35HD
FBOTA,227,B/F-5794,LAVOIR 1,WW1,45.150869,6.637322,JN35HD
FBOTA,227,B/F-5795,Les MARCHES Sud,WW1,45.150381,6.56542,JN35GD
FBOTA,227,B/F-5796,Les MARCHES Sud,WW1,45.150381,6.56542,JN35GD
